# UNTRACKED_CORPUS_CANONICAL_CONTINUITY candidate manifest
# format_version	CANONICAL-CONTINUITY-COMPACT-1.0
# baseline_head	6226bf3fb716880a176f9eb642b8139cef3255a6
# baseline_origin_main	6226bf3fb716880a176f9eb642b8139cef3255a6
# upstream_frozen_count	1283
# upstream_pathset_sha256	ed8be6ed329c1e93ae2c88b5f6b3b771e404656610fff6e3fecfd6666850f331
# upstream_recordset_sha256	99776a62cca30c18c7a577c70c7da9c1e6b845f4344c8b5942d756789dee1935
# strict_candidate_count	90
# current_a1_candidate_count	10
# total_candidate_count	100
# total_candidate_bytes	1294611
# candidate_record_schema	path<TAB>bytes<TAB>sha256<TAB>reason<TAB>secret_marker<TAB>local_abs_path
# candidate_recordset_sha256	163ba38c9338957bfc4cc1097bc663db02dbf784be578a3b716e5dc8be0b41bf
# duplicate_content_groups	0
# high_confidence_secret_marker_files	0
# machine_local_absolute_path_files	71
# files_with_historical_missing_repo_refs	29
#
# STRICT set definition:
# Apply rule 8 from docs/reports/untracked_corpus_manifest_20260815T1137Z.tsv to the
# frozen 1283-path corpus at baseline HEAD: otherwise-eligible untracked .md under
# docs/reports or docs/thread_handoff, excluding evidence, pm_tools, pm_task prompts,
# non-md report artifacts, local tooling and generated file; select only exact paths
# referenced by tracked markdown at baseline HEAD. The result MUST be exactly 90 paths.
#
# CURRENT_A1 set is listed explicitly below. The union MUST have no overlap and exactly
# 100 paths; its deterministic per-file record stream MUST hash to candidate_recordset_sha256.
# Historical missing references are evidence variance and do not authorize rewriting history.

set	path
CURRENT_A1	docs/reports/a1_station_summary_trusted_origin_real_data_wiring_readonly_diagnosis_r2_20260815T0949Z.md
CURRENT_A1	docs/reports/a1_station_summary_controlled_local_minimal_stack_bringup_20260815T1037Z.md
CURRENT_A1	docs/reports/a1_local_minimal_stack_image_materialization_20260815T1047Z.md
CURRENT_A1	docs/reports/a1_station_summary_controlled_local_minimal_stack_bringup_r2_20260815T1055Z.md
CURRENT_A1	docs/reports/a1_local_accepted_fact_source_readonly_reconciliation_20260815T1106Z.md
CURRENT_A1	docs/reports/a1_local_accepted_fact_schema_materialization_20260815T1110Z.md
CURRENT_A1	docs/reports/a1_local_accepted_fact_data_source_reconciliation_20260815T1117Z.md
CURRENT_A1	docs/reports/a1_local_formal_producer_image_materialization_20260815T1122Z.md
CURRENT_A1	docs/reports/a1_local_formal_producer_controlled_bringup_and_accepted_fact_observation_20260815T1132Z.md
CURRENT_A1	docs/thread_handoff/chatgpt_pm_handoff_260815-1654.md
