path	bytes	sha256	file_type	symlink	classification	reason	authority_reference
docs/Edge MES Demo — ChatGPT PM Handoff - 20260623.md	19253	84b686b6d43f973a616d7d203b14bd086523435582095d661c2e22942ae2349b	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1/final_terminal.json	2883	127595ad7a8b689ac4b1bee572bab00adf6556d0498c91e6e6ecf3b619d40715	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1/manifest.sha256	251	8b2f3718316b0879033de29256826f3d589556afd70d5e7433c55de79ab50e16	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_attempt2/final_terminal.json	8938	6adf2cbda04dded0cff4a42e5852f3728f6cf6a9ee22a771a295a8794a4f8153	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_attempt2/manifest.sha256	396	7cbe7523f9e163d959404b66b1fa4972cc0c3a22062b964feb9bc1d7a9d84372	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_attempt2/raw_terminal.ndjson	7845	d8abe1a0d6f7ae9c800d937bb995621a681702f454cd8055d238e98d01310df7	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_attempt2_readonly_remote_diagnostic/manifest.sha256	435	740ace543a02e0f56e114cc8bb8ee7f3244222fdfd5309cfe3306c224dad23b6	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_attempt2_readonly_remote_diagnostic/postflight.json	7612	46328096bcb14f1bec84f369171b29c82351028864dcb90496cb4c649b058755	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_attempt2_readonly_remote_diagnostic/preflight.json	1356	b5f0edaaf21ea6a585382d4a1606b13963843c4b97f4274d6fee051d7f582a2a	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_attempt2_remote_filesystem_identity_diagnostic/filesystem_identity.json	2888	5861f200ad7aa6ce049fb0370e7ef37cb8e414cbe032059a5c062652e4cc8576	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_attempt2_remote_filesystem_identity_diagnostic/manifest.sha256	317	39529dce2e4491db3019c232c701d427204532fecbbe6da86ec90f8e52e146eb	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_r15_filesystem_contract_repair/manifest.sha256	1487	68c59e7ef811a4c815eec86f362452da72e8e30fb28ac0e26da8d569b0019686	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_r16_r1_c1_contract_closeout_correction/manifest.sha256	1815	77aaa4643c8ef90ea5a851c734dfba0385cbb833ac56f08c5baf00fa2170a9e6	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_r16_r1_upload_parent_fd_race_synthetic_bypass_repair/manifest.sha256	1509	41fb00a02cc846300646b9abf9ea1d4167766f8bd9922f0d23be01f5e3e29eee	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_r17_r1_cleanup_foreign_inode_repair/manifest.sha256	1492	3dbb657ff25ed2ece034db5b2927f5b1d328946cae2da65186efa74326fec021	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_r17_r2_cleanup_ownership_repair/manifest.sha256	1488	e047ce7d4a90f080deb7ff7aae177d9bedfc0e3d15e0f090b5234e4ff6f6cc54	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_r17_r3_minimal_cleanup_boundary_evidence_closure_repair/manifest.sha256	1512	cd3b5e53f7d4537626cced9e1065f420f16234fb4dacd73ffc3486b8dccfe91b	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_r17_r4_fail_closed_retained_artifact_contract_repair/manifest.sha256	1509	9cd826e41260f36c6b172f4bff35445775840ebd7c56543291b397eedbdfce9f	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
docs/reports/evidence/d2_r7b_i1_r19_remote_eligibility_refresh/manifest.sha256	420	0224c8f3d6bb6da45fc1a318c7e84bff4306455fa474ce3c61dfe832c523a6b0	regular	false	HISTORICAL_DOC_ARCHIVE_REVIEW	Durable-looking documentation or execution evidence is outside the verified current authority closure and requires human review.	R36 Batch D;not in accepted manifest closure
